Cód_Mun;DIVIPOLA;MUNICIPIO;Cód_Dep;DPTO
1;5001;MEDELLÍN;5;ANTIOQUIA
2;5002;ABEJORRAL;5;ANTIOQUIA
4;5004;ABRIAQUÍ;5;ANTIOQUIA
21;5021;ALEJANDRÍA;5;ANTIOQUIA
30;5030;AMAGÁ;5;ANTIOQUIA
31;5031;AMALFI;5;ANTIOQUIA
34;5034;ANDES;5;ANTIOQUIA
36;5036;ANGELÓPOLIS;5;ANTIOQUIA
38;5038;ANGOSTURA;5;ANTIOQUIA
40;5040;ANORÍ;5;ANTIOQUIA
42;5042;SANTA FÉ DE ANTIOQUIA;5;ANTIOQUIA
44;5044;ANZÁ;5;ANTIOQUIA
45;5045;APARTADÓ;5;ANTIOQUIA
51;5051;ARBOLETES;5;ANTIOQUIA
55;5055;ARGELIA;5;ANTIOQUIA
59;5059;ARMENIA;5;ANTIOQUIA
79;5079;BARBOSA;5;ANTIOQUIA
86;5086;BELMIRA;5;ANTIOQUIA
88;5088;BELLO;5;ANTIOQUIA
91;5091;BETANIA;5;ANTIOQUIA
93;5093;BETULIA;5;ANTIOQUIA
101;5101;CIUDAD BOLÍVAR;5;ANTIOQUIA
107;5107;BRICEÑO;5;ANTIOQUIA
113;5113;BURITICÁ;5;ANTIOQUIA
120;5120;CÁCERES;5;ANTIOQUIA
125;5125;CAICEDO;5;ANTIOQUIA
129;5129;CALDAS;5;ANTIOQUIA
134;5134;CAMPAMENTO;5;ANTIOQUIA
138;5138;CAÑASGORDAS;5;ANTIOQUIA
142;5142;CARACOLÍ;5;ANTIOQUIA
145;5145;CARAMANTA;5;ANTIOQUIA
147;5147;CAREPA;5;ANTIOQUIA
148;5148;EL CARMEN DE VIBORAL;5;ANTIOQUIA
150;5150;CAROLINA;5;ANTIOQUIA
154;5154;CAUCASIA;5;ANTIOQUIA
172;5172;CHIGORODÓ;5;ANTIOQUIA
190;5190;CISNEROS;5;ANTIOQUIA
197;5197;COCORNÁ;5;ANTIOQUIA
206;5206;CONCEPCIÓN;5;ANTIOQUIA
209;5209;CONCORDIA;5;ANTIOQUIA
212;5212;COPACABANA;5;ANTIOQUIA
234;5234;DABEIBA;5;ANTIOQUIA
237;5237;DONMATÍAS;5;ANTIOQUIA
240;5240;EBÉJICO;5;ANTIOQUIA
250;5250;EL BAGRE;5;ANTIOQUIA
264;5264;ENTRERRÍOS;5;ANTIOQUIA
266;5266;ENVIGADO;5;ANTIOQUIA
282;5282;FREDONIA;5;ANTIOQUIA
284;5284;FRONTINO;5;ANTIOQUIA
306;5306;GIRALDO;5;ANTIOQUIA
308;5308;GIRARDOTA;5;ANTIOQUIA
310;5310;GÓMEZ PLATA;5;ANTIOQUIA
313;5313;GRANADA;5;ANTIOQUIA
315;5315;GUADALUPE;5;ANTIOQUIA
318;5318;GUARNE;5;ANTIOQUIA
321;5321;GUATAPÉ;5;ANTIOQUIA
347;5347;HELICONIA;5;ANTIOQUIA
353;5353;HISPANIA;5;ANTIOQUIA
360;5360;ITAGÜÍ;5;ANTIOQUIA
361;5361;ITUANGO;5;ANTIOQUIA
364;5364;JARDÍN;5;ANTIOQUIA
368;5368;JERICÓ;5;ANTIOQUIA
376;5376;LA CEJA;5;ANTIOQUIA
380;5380;LA ESTRELLA;5;ANTIOQUIA
390;5390;LA PINTADA;5;ANTIOQUIA
400;5400;LA UNIÓN;5;ANTIOQUIA
411;5411;LIBORINA;5;ANTIOQUIA
425;5425;MACEO;5;ANTIOQUIA
440;5440;MARINILLA;5;ANTIOQUIA
467;5467;MONTEBELLO;5;ANTIOQUIA
475;5475;MURINDÓ;5;ANTIOQUIA
480;5480;MUTATÁ;5;ANTIOQUIA
483;5483;NARIÑO;5;ANTIOQUIA
490;5490;NECOCLÍ;5;ANTIOQUIA
495;5495;NECHÍ;5;ANTIOQUIA
501;5501;OLAYA;5;ANTIOQUIA
541;5541;PEÑOL;5;ANTIOQUIA
543;5543;PEQUE;5;ANTIOQUIA
576;5576;PUEBLORRICO;5;ANTIOQUIA
579;5579;PUERTO BERRÍO;5;ANTIOQUIA
585;5585;PUERTO NARE;5;ANTIOQUIA
591;5591;PUERTO TRIUNFO;5;ANTIOQUIA
604;5604;REMEDIOS;5;ANTIOQUIA
607;5607;RETIRO;5;ANTIOQUIA
615;5615;RIONEGRO;5;ANTIOQUIA
628;5628;SABANALARGA;5;ANTIOQUIA
631;5631;SABANETA;5;ANTIOQUIA
642;5642;SALGAR;5;ANTIOQUIA
647;5647;SAN ANDRÉS DE CUERQUÍA;5;ANTIOQUIA
649;5649;SAN CARLOS;5;ANTIOQUIA
652;5652;SAN FRANCISCO;5;ANTIOQUIA
656;5656;SAN JERÓNIMO;5;ANTIOQUIA
658;5658;SAN JOSÉ DE LA MONTAÑA;5;ANTIOQUIA
659;5659;SAN JUAN DE URABÁ;5;ANTIOQUIA
660;5660;SAN LUIS;5;ANTIOQUIA
664;5664;SAN PEDRO DE LOS MILAGROS;5;ANTIOQUIA
665;5665;SAN PEDRO DE URABÁ;5;ANTIOQUIA
667;5667;SAN RAFAEL;5;ANTIOQUIA
670;5670;SAN ROQUE;5;ANTIOQUIA
674;5674;SAN VICENTE FERRER;5;ANTIOQUIA
679;5679;SANTA BÁRBARA;5;ANTIOQUIA
686;5686;SANTA ROSA DE OSOS;5;ANTIOQUIA
690;5690;SANTO DOMINGO;5;ANTIOQUIA
697;5697;EL SANTUARIO;5;ANTIOQUIA
736;5736;SEGOVIA;5;ANTIOQUIA
756;5756;SONSÓN;5;ANTIOQUIA
761;5761;SOPETRÁN;5;ANTIOQUIA
789;5789;TÁMESIS;5;ANTIOQUIA
790;5790;TARAZÁ;5;ANTIOQUIA
792;5792;TARSO;5;ANTIOQUIA
809;5809;TITIRIBÍ;5;ANTIOQUIA
819;5819;TOLEDO;5;ANTIOQUIA
837;5837;TURBO;5;ANTIOQUIA
842;5842;URAMITA;5;ANTIOQUIA
847;5847;URRAO;5;ANTIOQUIA
854;5854;VALDIVIA;5;ANTIOQUIA
856;5856;VALPARAÍSO;5;ANTIOQUIA
858;5858;VEGACHÍ;5;ANTIOQUIA
861;5861;VENECIA;5;ANTIOQUIA
873;5873;VIGÍA DEL FUERTE;5;ANTIOQUIA
885;5885;YALÍ;5;ANTIOQUIA
887;5887;YARUMAL;5;ANTIOQUIA
890;5890;YOLOMBÓ;5;ANTIOQUIA
893;5893;YONDÓ;5;ANTIOQUIA
895;5895;ZARAGOZA;5;ANTIOQUIA
1;8001;BARRANQUILLA;8;ATLÁNTICO
78;8078;BARANOA;8;ATLÁNTICO
137;8137;CAMPO DE LA CRUZ;8;ATLÁNTICO
141;8141;CANDELARIA;8;ATLÁNTICO
296;8296;GALAPA;8;ATLÁNTICO
372;8372;JUAN DE ACOSTA;8;ATLÁNTICO
421;8421;LURUACO;8;ATLÁNTICO
433;8433;MALAMBO;8;ATLÁNTICO
436;8436;MANATÍ;8;ATLÁNTICO
520;8520;PALMAR DE VARELA;8;ATLÁNTICO
549;8549;PIOJÓ;8;ATLÁNTICO
558;8558;POLONUEVO;8;ATLÁNTICO
560;8560;PONEDERA;8;ATLÁNTICO
573;8573;PUERTO COLOMBIA;8;ATLÁNTICO
606;8606;REPELÓN;8;ATLÁNTICO
634;8634;SABANAGRANDE;8;ATLÁNTICO
638;8638;SABANALARGA;8;ATLÁNTICO
675;8675;SANTA LUCÍA;8;ATLÁNTICO
685;8685;SANTO TOMÁS;8;ATLÁNTICO
758;8758;SOLEDAD;8;ATLÁNTICO
770;8770;SUAN;8;ATLÁNTICO
832;8832;TUBARÁ;8;ATLÁNTICO
849;8849;USIACURÍ;8;ATLÁNTICO
1;11001;BOGOTÁ, D.C.;11;BOGOTÁ, D.C.
1;13001;CARTAGENA DE INDIAS;13;BOLÍVAR
6;13006;ACHÍ;13;BOLÍVAR
30;13030;ALTOS DEL ROSARIO;13;BOLÍVAR
42;13042;ARENAL;13;BOLÍVAR
52;13052;ARJONA;13;BOLÍVAR
62;13062;ARROYOHONDO;13;BOLÍVAR
74;13074;BARRANCO DE LOBA;13;BOLÍVAR
140;13140;CALAMAR;13;BOLÍVAR
160;13160;CANTAGALLO;13;BOLÍVAR
188;13188;CICUCO;13;BOLÍVAR
212;13212;CÓRDOBA;13;BOLÍVAR
222;13222;CLEMENCIA;13;BOLÍVAR
244;13244;EL CARMEN DE BOLÍVAR;13;BOLÍVAR
248;13248;EL GUAMO;13;BOLÍVAR
268;13268;EL PEÑÓN;13;BOLÍVAR
300;13300;HATILLO DE LOBA;13;BOLÍVAR
430;13430;MAGANGUÉ;13;BOLÍVAR
433;13433;MAHATES;13;BOLÍVAR
440;13440;MARGARITA;13;BOLÍVAR
442;13442;MARÍA LA BAJA;13;BOLÍVAR
458;13458;MONTECRISTO;13;BOLÍVAR
468;13468;MOMPÓS;13;BOLÍVAR
473;13473;MORALES;13;BOLÍVAR
490;13490;NOROSÍ;13;BOLÍVAR
549;13549;PINILLOS;13;BOLÍVAR
580;13580;REGIDOR;13;BOLÍVAR
600;13600;RÍO VIEJO;13;BOLÍVAR
620;13620;SAN CRISTÓBAL;13;BOLÍVAR
647;13647;SAN ESTANISLAO;13;BOLÍVAR
650;13650;SAN FERNANDO;13;BOLÍVAR
654;13654;SAN JACINTO;13;BOLÍVAR
655;13655;SAN JACINTO DEL CAUCA;13;BOLÍVAR
657;13657;SAN JUAN NEPOMUCENO;13;BOLÍVAR
667;13667;SAN MARTÍN DE LOBA;13;BOLÍVAR
670;13670;SAN PABLO;13;BOLÍVAR
673;13673;SANTA CATALINA;13;BOLÍVAR
683;13683;SANTA ROSA;13;BOLÍVAR
688;13688;SANTA ROSA DEL SUR;13;BOLÍVAR
744;13744;SIMITÍ;13;BOLÍVAR
760;13760;SOPLAVIENTO;13;BOLÍVAR
780;13780;TALAIGUA NUEVO;13;BOLÍVAR
810;13810;TIQUISIO;13;BOLÍVAR
836;13836;TURBACO;13;BOLÍVAR
838;13838;TURBANÁ;13;BOLÍVAR
873;13873;VILLANUEVA;13;BOLÍVAR
894;13894;ZAMBRANO;13;BOLÍVAR
1;15001;TUNJA;15;BOYACÁ
22;15022;ALMEIDA;15;BOYACÁ
47;15047;AQUITANIA;15;BOYACÁ
51;15051;ARCABUCO;15;BOYACÁ
87;15087;BELÉN;15;BOYACÁ
90;15090;BERBEO;15;BOYACÁ
92;15092;BETÉITIVA;15;BOYACÁ
97;15097;BOAVITA;15;BOYACÁ
104;15104;BOYACÁ;15;BOYACÁ
106;15106;BRICEÑO;15;BOYACÁ
109;15109;BUENAVISTA;15;BOYACÁ
114;15114;BUSBANZÁ;15;BOYACÁ
131;15131;CALDAS;15;BOYACÁ
135;15135;CAMPOHERMOSO;15;BOYACÁ
162;15162;CERINZA;15;BOYACÁ
172;15172;CHINAVITA;15;BOYACÁ
176;15176;CHIQUINQUIRÁ;15;BOYACÁ
180;15180;CHISCAS;15;BOYACÁ
183;15183;CHITA;15;BOYACÁ
185;15185;CHITARAQUE;15;BOYACÁ
187;15187;CHIVATÁ;15;BOYACÁ
189;15189;CIÉNEGA;15;BOYACÁ
204;15204;CÓMBITA;15;BOYACÁ
212;15212;COPER;15;BOYACÁ
215;15215;CORRALES;15;BOYACÁ
218;15218;COVARACHÍA;15;BOYACÁ
223;15223;CUBARÁ;15;BOYACÁ
224;15224;CUCAITA;15;BOYACÁ
226;15226;CUÍTIVA;15;BOYACÁ
232;15232;CHÍQUIZA;15;BOYACÁ
236;15236;CHIVOR;15;BOYACÁ
238;15238;DUITAMA;15;BOYACÁ
244;15244;EL COCUY;15;BOYACÁ
248;15248;EL ESPINO;15;BOYACÁ
272;15272;FIRAVITOBA;15;BOYACÁ
276;15276;FLORESTA;15;BOYACÁ
293;15293;GACHANTIVÁ;15;BOYACÁ
296;15296;GÁMEZA;15;BOYACÁ
299;15299;GARAGOA;15;BOYACÁ
317;15317;GUACAMAYAS;15;BOYACÁ
322;15322;GUATEQUE;15;BOYACÁ
325;15325;GUAYATÁ;15;BOYACÁ
332;15332;GÜICÁN DE LA SIERRA;15;BOYACÁ
362;15362;IZA;15;BOYACÁ
367;15367;JENESANO;15;BOYACÁ
368;15368;JERICÓ;15;BOYACÁ
377;15377;LABRANZAGRANDE;15;BOYACÁ
380;15380;LA CAPILLA;15;BOYACÁ
401;15401;LA VICTORIA;15;BOYACÁ
403;15403;LA UVITA;15;BOYACÁ
407;15407;VILLA DE LEYVA;15;BOYACÁ
425;15425;MACANAL;15;BOYACÁ
442;15442;MARIPÍ;15;BOYACÁ
455;15455;MIRAFLORES;15;BOYACÁ
464;15464;MONGUA;15;BOYACÁ
466;15466;MONGUÍ;15;BOYACÁ
469;15469;MONIQUIRÁ;15;BOYACÁ
476;15476;MOTAVITA;15;BOYACÁ
480;15480;MUZO;15;BOYACÁ
491;15491;NOBSA;15;BOYACÁ
494;15494;NUEVO COLÓN;15;BOYACÁ
500;15500;OICATÁ;15;BOYACÁ
507;15507;OTANCHE;15;BOYACÁ
511;15511;PACHAVITA;15;BOYACÁ
514;15514;PÁEZ;15;BOYACÁ
516;15516;PAIPA;15;BOYACÁ
518;15518;PAJARITO;15;BOYACÁ
522;15522;PANQUEBA;15;BOYACÁ
531;15531;PAUNA;15;BOYACÁ
533;15533;PAYA;15;BOYACÁ
537;15537;PAZ DE RÍO;15;BOYACÁ
542;15542;PESCA;15;BOYACÁ
550;15550;PISBA;15;BOYACÁ
572;15572;PUERTO BOYACÁ;15;BOYACÁ
580;15580;QUÍPAMA;15;BOYACÁ
599;15599;RAMIRIQUÍ;15;BOYACÁ
600;15600;RÁQUIRA;15;BOYACÁ
621;15621;RONDÓN;15;BOYACÁ
632;15632;SABOYÁ;15;BOYACÁ
638;15638;SÁCHICA;15;BOYACÁ
646;15646;SAMACÁ;15;BOYACÁ
660;15660;SAN EDUARDO;15;BOYACÁ
664;15664;SAN JOSÉ DE PARE;15;BOYACÁ
667;15667;SAN LUIS DE GACENO;15;BOYACÁ
673;15673;SAN MATEO;15;BOYACÁ
676;15676;SAN MIGUEL DE SEMA;15;BOYACÁ
681;15681;SAN PABLO DE BORBUR;15;BOYACÁ
686;15686;SANTANA;15;BOYACÁ
690;15690;SANTA MARÍA;15;BOYACÁ
693;15693;SANTA ROSA DE VITERBO;15;BOYACÁ
696;15696;SANTA SOFÍA;15;BOYACÁ
720;15720;SATIVANORTE;15;BOYACÁ
723;15723;SATIVASUR;15;BOYACÁ
740;15740;SIACHOQUE;15;BOYACÁ
753;15753;SOATÁ;15;BOYACÁ
755;15755;SOCOTÁ;15;BOYACÁ
757;15757;SOCHA;15;BOYACÁ
759;15759;SOGAMOSO;15;BOYACÁ
761;15761;SOMONDOCO;15;BOYACÁ
762;15762;SORA;15;BOYACÁ
763;15763;SOTAQUIRÁ;15;BOYACÁ
764;15764;SORACÁ;15;BOYACÁ
774;15774;SUSACÓN;15;BOYACÁ
776;15776;SUTAMARCHÁN;15;BOYACÁ
778;15778;SUTATENZA;15;BOYACÁ
790;15790;TASCO;15;BOYACÁ
798;15798;TENZA;15;BOYACÁ
804;15804;TIBANÁ;15;BOYACÁ
806;15806;TIBASOSA;15;BOYACÁ
808;15808;TINJACÁ;15;BOYACÁ
810;15810;TIPACOQUE;15;BOYACÁ
814;15814;TOCA;15;BOYACÁ
816;15816;TOGÜÍ;15;BOYACÁ
820;15820;TÓPAGA;15;BOYACÁ
822;15822;TOTA;15;BOYACÁ
832;15832;TUNUNGUÁ;15;BOYACÁ
835;15835;TURMEQUÉ;15;BOYACÁ
837;15837;TUTA;15;BOYACÁ
839;15839;TUTAZÁ;15;BOYACÁ
842;15842;ÚMBITA;15;BOYACÁ
861;15861;VENTAQUEMADA;15;BOYACÁ
879;15879;VIRACACHÁ;15;BOYACÁ
897;15897;ZETAQUIRA;15;BOYACÁ
1;17001;MANIZALES;17;CALDAS
13;17013;AGUADAS;17;CALDAS
42;17042;ANSERMA;17;CALDAS
50;17050;ARANZAZU;17;CALDAS
88;17088;BELALCÁZAR;17;CALDAS
174;17174;CHINCHINÁ;17;CALDAS
272;17272;FILADELFIA;17;CALDAS
380;17380;LA DORADA;17;CALDAS
388;17388;LA MERCED;17;CALDAS
433;17433;MANZANARES;17;CALDAS
442;17442;MARMATO;17;CALDAS
444;17444;MARQUETALIA;17;CALDAS
446;17446;MARULANDA;17;CALDAS
486;17486;NEIRA;17;CALDAS
495;17495;NORCASIA;17;CALDAS
513;17513;PÁCORA;17;CALDAS
524;17524;PALESTINA;17;CALDAS
541;17541;PENSILVANIA;17;CALDAS
614;17614;RIOSUCIO;17;CALDAS
616;17616;RISARALDA;17;CALDAS
653;17653;SALAMINA;17;CALDAS
662;17662;SAMANÁ;17;CALDAS
665;17665;SAN JOSÉ;17;CALDAS
777;17777;SUPÍA;17;CALDAS
867;17867;VICTORIA;17;CALDAS
873;17873;VILLAMARÍA;17;CALDAS
877;17877;VITERBO;17;CALDAS
1;18001;FLORENCIA;18;CAQUETÁ
29;18029;ALBANIA;18;CAQUETÁ
94;18094;BELÉN DE LOS ANDAQUÍES;18;CAQUETÁ
150;18150;CARTAGENA DEL CHAIRÁ;18;CAQUETÁ
205;18205;CURILLO;18;CAQUETÁ
247;18247;EL DONCELLO;18;CAQUETÁ
256;18256;EL PAUJÍL;18;CAQUETÁ
410;18410;LA MONTAÑITA;18;CAQUETÁ
460;18460;MILÁN;18;CAQUETÁ
479;18479;MORELIA;18;CAQUETÁ
592;18592;PUERTO RICO;18;CAQUETÁ
610;18610;SAN JOSÉ DEL FRAGUA;18;CAQUETÁ
753;18753;SAN VICENTE DEL CAGUÁN;18;CAQUETÁ
756;18756;SOLANO;18;CAQUETÁ
785;18785;SOLITA;18;CAQUETÁ
860;18860;VALPARAÍSO;18;CAQUETÁ
1;19001;POPAYÁN;19;CAUCA
22;19022;ALMAGUER;19;CAUCA
50;19050;ARGELIA;19;CAUCA
75;19075;BALBOA;19;CAUCA
100;19100;BOLÍVAR;19;CAUCA
110;19110;BUENOS AIRES;19;CAUCA
130;19130;CAJIBÍO;19;CAUCA
137;19137;CALDONO;19;CAUCA
142;19142;CALOTO;19;CAUCA
212;19212;CORINTO;19;CAUCA
256;19256;EL TAMBO;19;CAUCA
290;19290;FLORENCIA;19;CAUCA
300;19300;GUACHENÉ;19;CAUCA
318;19318;GUAPI;19;CAUCA
355;19355;INZÁ;19;CAUCA
364;19364;JAMBALÓ;19;CAUCA
392;19392;LA SIERRA;19;CAUCA
397;19397;LA VEGA;19;CAUCA
418;19418;LÓPEZ DE MICAY;19;CAUCA
450;19450;MERCADERES;19;CAUCA
455;19455;MIRANDA;19;CAUCA
473;19473;MORALES;19;CAUCA
513;19513;PADILLA;19;CAUCA
517;19517;PÁEZ;19;CAUCA
532;19532;PATÍA;19;CAUCA
533;19533;PIAMONTE;19;CAUCA
548;19548;PIENDAMÓ - TUNÍA;19;CAUCA
573;19573;PUERTO TEJADA;19;CAUCA
585;19585;PURACÉ;19;CAUCA
622;19622;ROSAS;19;CAUCA
693;19693;SAN SEBASTIÁN;19;CAUCA
